1,20101123,070000,-124.4,1
1,20101123,070100,-122.86,1
1,20101123,070200,-121.31,1
1,20101123,070300,-119.77,1
1,20101123,070400,-118.23,1
1,20101123,070500,-116.69,1
1,20101123,070600,-115.14,1
1,20101123,070700,-113.6,1
1,20101123,070800,-112.06,1
1,20101123,070900,-110.52,1
1,20101123,071000,-108.97,1
1,20101123,071100,-107.43,1
1,20101123,071200,-105.89,1
1,20101123,071300,-104.34,1
1,20101123,071400,-102.8,1
1,20101123,071500,-101.26,1
1,20101123,071600,-99.72,1
1,20101123,071700,-98.17,1
1,20101123,071800,-96.63,1
1,20101123,071900,-95.09,1
1,20101123,072000,-93.55,1
1,20101123,072100,-92.0,1
1,20101123,072200,-90.46,1
1,20101123,072300,-88.92,1
1,20101123,072400,-87.38,1
1,20101123,072500,-85.83,1
1,20101123,072600,-84.29,1
1,20101123,072700,-82.75,1
1,20101123,072800,-81.21,1
1,20101123,072900,-79.66,1
1,20101123,073000,-78.12,1
1,20101123,073100,-76.58,1
1,20101123,073200,-75.04,1
1,20101123,073300,-73.49,1
1,20101123,073400,-71.95,1
1,20101123,073500,-70.41,1
1,20101123,073600,-68.87,1
1,20101123,073700,-67.32,1
1,20101123,073800,-65.78,1
1,20101123,073900,-64.24,1
1,20101123,074000,-62.7,1
1,20101123,074100,-61.15,1
1,20101123,074200,-59.61,1
1,20101123,074300,-58.07,1
1,20101123,074400,-56.52,1
1,20101123,074500,-54.98,1
1,20101123,074600,-53.44,1
1,20101123,074700,-51.9,1
1,20101123,074800,-50.35,1
1,20101123,074900,-48.81,1
1,20101123,075000,-47.27,1
1,20101123,075100,-45.73,1
1,20101123,075200,-44.18,1
1,20101123,075300,-42.64,1
1,20101123,075400,-41.1,1
1,20101123,075500,-39.56,1
1,20101123,075600,-38.01,1
1,20101123,075700,-36.47,1
1,20101123,075800,-34.93,1
1,20101123,075900,-33.39,1
1,20101123,080000,-31.84,1
1,20101123,080100,-31.22,1
1,20101123,080200,-30.6,1
1,20101123,080300,-29.97,1
1,20101123,080400,-29.35,1
1,20101123,080500,-28.73,1
1,20101123,080600,-28.1,1
1,20101123,080700,-27.48,1
1,20101123,080800,-26.86,1
1,20101123,080900,-26.23,1
1,20101123,081000,-25.61,1
1,20101123,081100,-24.99,1
1,20101123,081200,-24.36,1
1,20101123,081300,-23.74,1
1,20101123,081400,-23.12,1
1,20101123,081500,-22.49,1
1,20101123,081600,-21.87,1
1,20101123,081700,-21.25,1
1,20101123,081800,-20.62,1
1,20101123,081900,-20.0,1
1,20101123,082000,-19.38,1
1,20101123,082100,-18.75,1
1,20101123,082200,-18.13,1
1,20101123,082300,-17.51,1
1,20101123,082400,-16.88,1
1,20101123,082500,-16.26,1
1,20101123,082600,-15.64,1
1,20101123,082700,-15.01,1
1,20101123,082800,-14.39,1
1,20101123,082900,-13.77,1
1,20101123,083000,-13.14,1
1,20101123,083100,-12.52,1
1,20101123,083200,-11.9,1
1,20101123,083300,-11.27,1
1,20101123,083400,-10.65,1
1,20101123,083500,-10.03,1
1,20101123,083600,-9.4,1
1,20101123,083700,-8.78,1
1,20101123,083800,-8.16,1
1,20101123,083900,-7.53,1
1,20101123,084000,-6.91,1
1,20101123,084100,-6.29,1
1,20101123,084200,-5.66,1
1,20101123,084300,-5.04,1
1,20101123,084400,-4.42,1
1,20101123,084500,-3.79,1
1,20101123,084600,-3.17,1
1,20101123,084700,-2.55,1
1,20101123,084800,-1.92,1
1,20101123,084900,-1.3,1
1,20101123,085000,-0.68,1
1,20101123,085100,-0.05,1
1,20101123,085200,0.57,1
1,20101123,085300,1.19,1
1,20101123,085400,1.82,1
1,20101123,085500,2.44,1
1,20101123,085600,3.06,1
1,20101123,085700,3.69,1
1,20101123,085800,4.31,1
1,20101123,085900,4.93,1
1,20101123,090000,5.56,1
1,20101123,090100,5.5,1
1,20101123,090200,5.44,1
1,20101123,090300,5.39,1
1,20101123,090400,5.33,1
1,20101123,090500,5.27,1
1,20101123,090600,5.22,1
1,20101123,090700,5.16,1
1,20101123,090800,5.1,1
1,20101123,090900,5.05,1
1,20101123,091000,4.99,1
1,20101123,091100,4.93,1
1,20101123,091200,4.88,1
1,20101123,091300,4.82,1
1,20101123,091400,4.76,1
1,20101123,091500,4.71,1
1,20101123,091600,4.65,1
1,20101123,091700,4.59,1
1,20101123,091800,4.53,1
1,20101123,091900,4.48,1
1,20101123,092000,4.42,1
1,20101123,092100,4.36,1
1,20101123,092200,4.31,1
1,20101123,092300,4.25,1
1,20101123,092400,4.19,1
1,20101123,092500,4.14,1
1,20101123,092600,4.08,1
1,20101123,092700,4.02,1
1,20101123,092800,3.97,1
1,20101123,092900,3.91,1
1,20101123,093000,3.85,1
1,20101123,093100,3.8,1
1,20101123,093200,3.74,1
1,20101123,093300,3.68,1
1,20101123,093400,3.63,1
1,20101123,093500,3.57,1
1,20101123,093600,3.51,1
1,20101123,093700,3.46,1
1,20101123,093800,3.4,1
1,20101123,093900,3.34,1
1,20101123,094000,3.29,1
1,20101123,094100,3.23,1
1,20101123,094200,3.17,1
1,20101123,094300,3.12,1
1,20101123,094400,3.06,1
1,20101123,094500,3.0,1
1,20101123,094600,2.95,1
1,20101123,094700,2.89,1
1,20101123,094800,2.83,1
1,20101123,094900,2.78,1
1,20101123,095000,2.72,1
1,20101123,095100,2.66,1
1,20101123,095200,2.61,1
1,20101123,095300,2.55,1
1,20101123,095400,2.49,1
1,20101123,095500,2.44,1
1,20101123,095600,2.38,1
1,20101123,095700,2.32,1
1,20101123,095800,2.27,1
