time,adt
1993-01-01,0.78723
1993-01-02,0.7848400000000001
1993-01-03,0.7835633333333334
1993-01-04,0.7819433333333333
1993-01-05,0.7760333333333332
1993-01-06,0.7749900000000002
1993-01-07,0.7746533333333334
1993-01-08,0.7752300000000001
1993-01-09,0.7748
1993-01-10,0.7752933333333334
1993-01-11,0.77928
1993-01-12,0.78241
1993-01-13,0.7842933333333334
1993-01-14,0.7892366666666668
1993-01-15,0.7914866666666668
1993-01-16,0.7962800000000001
1993-01-17,0.7997833333333333
1993-01-18,0.8035766666666667
1993-01-19,0.8092433333333333
1993-01-20,0.8135633333333333
1993-01-21,0.8181
1993-01-22,0.82133
1993-01-23,0.8254466666666668
1993-01-24,0.8298400000000001
1993-01-25,0.8348933333333334
1993-01-26,0.8391133333333334
1993-01-27,0.84433
1993-01-28,0.8491966666666667
1993-01-29,0.8539300000000001
1993-01-30,0.8576933333333334
1993-01-31,0.8593
1993-02-01,0.8631899999999999
1993-02-02,0.8632233333333335
1993-02-03,0.8678033333333334
1993-02-04,0.87002
1993-02-05,0.8721599999999999
1993-02-06,0.8747566666666666
1993-02-07,0.8756966666666667
1993-02-08,0.8768066666666667
1993-02-09,0.8780733333333334
1993-02-10,0.8807533333333334
1993-02-11,0.8832933333333333
1993-02-12,0.8820766666666666
1993-02-13,0.8815166666666667
1993-02-14,0.8825966666666666
1993-02-15,0.8837566666666667
1993-02-16,0.8842766666666667
1993-02-17,0.8850966666666668
1993-02-18,0.8814133333333333
1993-02-19,0.87965
1993-02-20,0.8802000000000001
1993-02-21,0.8818133333333333
1993-02-22,0.8836233333333335
1993-02-23,0.88427
1993-02-24,0.88702
1993-02-25,0.8898
1993-02-26,0.8920366666666667
1993-02-27,0.8966933333333335
1993-02-28,0.9018966666666667
1993-03-01,0.9061366666666667
1993-03-02,0.91001
1993-03-03,0.9143166666666668
1993-03-04,0.9180633333333333
1993-03-05,0.9263733333333335
1993-03-06,0.9277533333333333
1993-03-07,0.9268866666666667
1993-03-08,0.9298033333333334
1993-03-09,0.92685
1993-03-10,0.9270733333333333
1993-03-11,0.9274866666666668
1993-03-12,0.9276133333333334
1993-03-13,0.9279100000000001
1993-03-14,0.9252333333333334
1993-03-15,0.9198533333333334
1993-03-16,0.9159333333333334
1993-03-17,0.91229
1993-03-18,0.9077933333333335
1993-03-19,0.9038366666666667
1993-03-20,0.89876
1993-03-21,0.8940266666666667
1993-03-22,0.8919933333333333
1993-03-23,0.8901633333333334
1993-03-24,0.8866666666666667
1993-03-25,0.8856733333333333
1993-03-26,0.8816433333333333
1993-03-27,0.8869199999999999
1993-03-28,0.8829866666666668
1993-03-29,0.8799333333333335
1993-03-30,0.87707
1993-03-31,0.8748100000000001
1993-04-01,0.8736999999999999
1993-04-02,0.87205
1993-04-03,0.8718600000000001
1993-04-04,0.86909
1993-04-05,0.8682233333333333
1993-04-06,0.8688533333333334
1993-04-07,0.86922
1993-04-08,0.8688866666666667
1993-04-09,0.8718633333333334
1993-04-10,0.8751
1993-04-11,0.8789733333333334
1993-04-12,0.8809233333333334
1993-04-13,0.8808933333333333
1993-04-14,0.8858900000000001
1993-04-15,0.8881133333333333
1993-04-16,0.8893800000000002
1993-04-17,0.8921433333333333
1993-04-18,0.8951833333333333
1993-04-19,0.8983633333333334
1993-04-20,0.89958
1993-04-21,0.9018066666666668
1993-04-22,0.9026866666666666
1993-04-23,0.9032733333333333
1993-04-24,0.9029566666666667
1993-04-25,0.9025533333333333
1993-04-26,0.9001466666666667
1993-04-27,0.89885
1993-04-28,0.8983066666666667
1993-04-29,0.8959933333333334
1993-04-30,0.8936433333333333
1993-05-01,0.8978033333333334
1993-05-02,0.8919233333333333
1993-05-03,0.8867300000000001
1993-05-04,0.8804233333333333
1993-05-05,0.87436
1993-05-06,0.8679900000000002
1993-05-07,0.8605433333333334
1993-05-08,0.8510966666666667
1993-05-09,0.84472
1993-05-10,0.8405533333333334
1993-05-11,0.8350933333333334
1993-05-12,0.8308033333333334
1993-05-13,0.8252933333333333
1993-05-14,0.82069
1993-05-15,0.8210500000000001
1993-05-16,0.8210500000000001
1993-05-17,0.82142
1993-05-18,0.8230766666666668
1993-05-19,0.8253033333333335
1993-05-20,0.8302866666666666
1993-05-21,0.83617
1993-05-22,0.8426866666666667
1993-05-23,0.85094
1993-05-24,0.8651866666666667
1993-05-25,0.8749266666666669
1993-05-26,0.8842033333333333
1993-05-27,0.89348
1993-05-28,0.9019566666666667
1993-05-29,0.9134833333333334
1993-05-30,0.9239733333333334
1993-05-31,0.9350733333333333
1993-06-01,0.9465466666666668
1993-06-02,0.9541799999999999
1993-06-03,0.95484
1993-06-04,0.9627199999999999
1993-06-05,0.9723700000000001
1993-06-06,0.9772366666666666
1993-06-07,0.9805600000000001
1993-06-08,0.9847766666666667
1993-06-09,0.9894866666666666
1993-06-10,0.9942433333333334
1993-06-11,0.9992133333333335
1993-06-12,1.0013733333333334
1993-06-13,1.0047166666666667
1993-06-14,1.0077
1993-06-15,1.0110333333333335
1993-06-16,1.0141166666666668
1993-06-17,1.0171733333333333
1993-06-18,1.02011
1993-06-19,1.0217766666666668
1993-06-20,1.0236233333333333
1993-06-21,1.0258133333333335
1993-06-22,1.0283833333333334
1993-06-23,1.02826
1993-06-24,1.02835
1993-06-25,1.0292433333333335
1993-06-26,1.0281866666666668
1993-06-27,1.0259866666666668
1993-06-28,1.0258600000000002
1993-06-29,1.0254633333333334
1993-06-30,1.0262266666666668
1993-07-01,1.0241566666666666
1993-07-02,1.0248533333333332
